Data run ended at:  Friday, April 09, 2021	1:50:33 AM
Total number of sweeps:  14912522	live time (sec):  298250.440000	real time (sec):  345601.047000


time (sec)	counts
3.400000E-3	1.492540E+5
3.420000E-3	1.495810E+5
3.440000E-3	1.490830E+5
3.460000E-3	1.494560E+5
3.480000E-3	1.495320E+5
3.500000E-3	1.497920E+5
3.520000E-3	1.493620E+5
3.540000E-3	1.502270E+5
3.560000E-3	1.493480E+5
3.580000E-3	1.493800E+5
3.600000E-3	1.483520E+5
3.620000E-3	1.494120E+5
3.640000E-3	1.497350E+5
3.660000E-3	1.494460E+5
3.680000E-3	1.497190E+5
3.700000E-3	1.491190E+5
3.720000E-3	1.488600E+5
3.740000E-3	1.492860E+5
3.760000E-3	1.495540E+5
3.780000E-3	1.490650E+5
3.800000E-3	1.488620E+5
3.820000E-3	1.490810E+5
3.840000E-3	1.495270E+5
3.860000E-3	1.494950E+5
3.880000E-3	1.492340E+5
3.900000E-3	1.485390E+5
3.920000E-3	1.498700E+5
3.940000E-3	1.493710E+5
3.960000E-3	1.493310E+5
3.980000E-3	1.491050E+5
4.000000E-3	1.490270E+5
4.020000E-3	1.496930E+5
4.040000E-3	1.490890E+5
4.060000E-3	1.488710E+5
4.080000E-3	1.493770E+5
4.100000E-3	1.494110E+5
4.120000E-3	1.490460E+5
4.140000E-3	1.496200E+5
4.160000E-3	1.489600E+5
4.180000E-3	1.494510E+5
4.200000E-3	1.486190E+5
4.220000E-3	1.497960E+5
4.240000E-3	1.490410E+5
4.260000E-3	1.492470E+5
4.280000E-3	1.500690E+5
4.300000E-3	1.492720E+5
4.320000E-3	1.497690E+5
4.340000E-3	1.492020E+5
4.360000E-3	1.497570E+5
4.380000E-3	1.485070E+5
4.400000E-3	1.500990E+5
4.420000E-3	1.489820E+5
4.440000E-3	1.495050E+5
4.460000E-3	1.498140E+5
4.480000E-3	1.493800E+5
4.500000E-3	1.487170E+5
4.520000E-3	1.496400E+5
4.540000E-3	1.495370E+5
4.560000E-3	1.498350E+5
4.580000E-3	1.496080E+5
4.600000E-3	1.499270E+5
4.620000E-3	1.493850E+5
4.640000E-3	1.498490E+5
4.660000E-3	1.492960E+5
4.680000E-3	1.494920E+5
4.700000E-3	1.490570E+5
4.720000E-3	1.494340E+5
4.740000E-3	1.490000E+5
4.760000E-3	1.488160E+5
4.780000E-3	1.486390E+5
4.800000E-3	1.498670E+5
4.820000E-3	1.493230E+5
4.840000E-3	1.492080E+5
4.860000E-3	1.495620E+5
4.880000E-3	1.496420E+5
4.900000E-3	1.498220E+5
4.920000E-3	1.491380E+5
4.940000E-3	1.498350E+5
4.960000E-3	1.495270E+5
4.980000E-3	1.489100E+5
5.000000E-3	1.487080E+5
5.020000E-3	1.492210E+5
5.040000E-3	1.491940E+5
5.060000E-3	1.499450E+5
5.080000E-3	1.492860E+5
5.100000E-3	1.494520E+5
5.120000E-3	1.498540E+5
5.140000E-3	1.489840E+5
5.160000E-3	1.497630E+5
5.180000E-3	1.487580E+5
5.200000E-3	1.487290E+5
5.220000E-3	1.488450E+5
5.240000E-3	1.487980E+5
5.260000E-3	1.493860E+5
5.280000E-3	1.484560E+5
5.300000E-3	1.484340E+5
5.320000E-3	1.488260E+5
5.340000E-3	1.486100E+5
5.360000E-3	1.491830E+5
5.380000E-3	1.483490E+5
5.400000E-3	1.483750E+5
5.420000E-3	1.483620E+5
5.440000E-3	1.479780E+5
5.460000E-3	1.483110E+5
5.480000E-3	1.477340E+5
5.500000E-3	1.470970E+5
5.520000E-3	1.478170E+5
5.540000E-3	1.474850E+5
5.560000E-3	1.476410E+5
5.580000E-3	1.470250E+5
5.600000E-3	1.469800E+5
5.620000E-3	1.454110E+5
5.640000E-3	1.444660E+5
5.660000E-3	1.426530E+5
5.680000E-3	1.402010E+5
5.700000E-3	1.374000E+5
5.720000E-3	1.319290E+5
5.740000E-3	1.245250E+5
5.760000E-3	1.158900E+5
5.780000E-3	1.050180E+5
5.800000E-3	9.609600E+4
5.820000E-3	9.095800E+4
5.840000E-3	9.109300E+4
5.860000E-3	9.540900E+4
5.880000E-3	1.046460E+5
5.900000E-3	1.154880E+5
5.920000E-3	1.254580E+5
5.940000E-3	1.335590E+5
5.960000E-3	1.379320E+5
5.980000E-3	1.415270E+5
6.000000E-3	1.439390E+5
6.020000E-3	1.448150E+5
6.040000E-3	1.456560E+5
6.060000E-3	1.462600E+5
6.080000E-3	1.469110E+5
6.100000E-3	1.470170E+5
6.120000E-3	1.475120E+5
6.140000E-3	1.478780E+5
6.160000E-3	1.477000E+5
6.180000E-3	1.483440E+5
6.200000E-3	1.483320E+5
6.220000E-3	1.481060E+5
6.240000E-3	1.482450E+5
6.260000E-3	1.487030E+5
6.280000E-3	1.489610E+5
6.300000E-3	1.489060E+5
6.320000E-3	1.481390E+5
6.340000E-3	1.489190E+5
6.360000E-3	1.483830E+5
6.380000E-3	1.487330E+5
6.400000E-3	1.493180E+5
6.420000E-3	1.496960E+5
6.440000E-3	1.483640E+5
