Data run ended at:  Friday, April 09, 2021	10:26:03 PM
Total number of sweeps:  1735	live time (sec):  20.820000	real time (sec):  40.076000


time (sec)	counts
3.900000E-3	2.600000E+1
3.920000E-3	2.600000E+1
3.940000E-3	2.000000E+1
3.960000E-3	2.100000E+1
3.980000E-3	2.500000E+1
4.000000E-3	2.600000E+1
4.020000E-3	2.600000E+1
4.040000E-3	2.100000E+1
4.060000E-3	2.300000E+1
4.080000E-3	2.600000E+1
4.100000E-3	2.900000E+1
4.120000E-3	2.800000E+1
4.140000E-3	2.800000E+1
4.160000E-3	2.100000E+1
4.180000E-3	2.700000E+1
4.200000E-3	2.900000E+1
4.220000E-3	2.500000E+1
4.240000E-3	2.600000E+1
4.260000E-3	2.100000E+1
4.280000E-3	1.700000E+1
4.300000E-3	3.000000E+1
4.320000E-3	2.600000E+1
4.340000E-3	2.200000E+1
4.360000E-3	1.700000E+1
4.380000E-3	1.800000E+1
4.400000E-3	2.800000E+1
4.420000E-3	3.000000E+1
4.440000E-3	3.400000E+1
4.460000E-3	2.400000E+1
4.480000E-3	2.700000E+1
4.500000E-3	2.000000E+1
4.520000E-3	3.000000E+1
4.540000E-3	2.800000E+1
4.560000E-3	2.900000E+1
4.580000E-3	2.900000E+1
4.600000E-3	2.700000E+1
4.620000E-3	3.100000E+1
4.640000E-3	3.200000E+1
4.660000E-3	3.000000E+1
4.680000E-3	2.500000E+1
4.700000E-3	3.000000E+1
4.720000E-3	3.100000E+1
4.740000E-3	3.000000E+1
4.760000E-3	2.500000E+1
4.780000E-3	1.400000E+1
4.800000E-3	3.000000E+1
4.820000E-3	3.000000E+1
4.840000E-3	2.200000E+1
4.860000E-3	2.600000E+1
4.880000E-3	3.500000E+1
4.900000E-3	2.900000E+1
4.920000E-3	3.400000E+1
4.940000E-3	1.800000E+1
4.960000E-3	3.000000E+1
4.980000E-3	2.900000E+1
5.000000E-3	2.600000E+1
5.020000E-3	2.000000E+1
5.040000E-3	2.200000E+1
5.060000E-3	2.200000E+1
5.080000E-3	2.100000E+1
5.100000E-3	3.100000E+1
5.120000E-3	2.300000E+1
5.140000E-3	2.400000E+1
5.160000E-3	3.700000E+1
5.180000E-3	2.100000E+1
5.200000E-3	2.200000E+1
5.220000E-3	2.800000E+1
5.240000E-3	2.200000E+1
5.260000E-3	1.800000E+1
5.280000E-3	3.400000E+1
5.300000E-3	2.700000E+1
