Position, Amplitude, Width, Vertical Offset, Position std, Amplitude std, Width std, Offset std
-6.68073570e-09,-1.54925445e-05, 1.87634710e-08, 1.47050448e+04, 1.98753325e-10,3.67320164e-07,5.93184450e-10,8.48217095e+00
 1.17084308e-07,-1.36073350e-05, 1.60563657e-08, 1.47344879e+04, 1.93313993e-10,3.69486957e-07,5.79600673e-10,1.01240414e+01
