Data run ended at:  Saturday, April 03, 2021	6:03:08 PM
Total number of sweeps:  2519203	live time (sec):  50384.060000	real time (sec):  58415.165000


time (sec)	counts
3.380000E-3	6.436200E+4
3.400000E-3	6.461500E+4
3.420000E-3	6.421800E+4
3.440000E-3	6.454400E+4
3.460000E-3	6.421200E+4
3.480000E-3	6.418500E+4
3.500000E-3	6.450200E+4
3.520000E-3	6.386500E+4
3.540000E-3	6.373100E+4
3.560000E-3	6.384500E+4
3.580000E-3	6.414100E+4
3.600000E-3	6.386500E+4
3.620000E-3	6.394000E+4
3.640000E-3	6.381300E+4
3.660000E-3	6.330300E+4
3.680000E-3	6.394000E+4
3.700000E-3	6.325200E+4
3.720000E-3	6.330400E+4
3.740000E-3	6.292600E+4
3.760000E-3	6.291600E+4
3.780000E-3	6.235400E+4
3.800000E-3	6.201600E+4
3.820000E-3	6.274400E+4
3.840000E-3	6.193100E+4
3.860000E-3	6.052200E+4
3.880000E-3	6.069600E+4
3.900000E-3	6.062600E+4
3.920000E-3	6.004100E+4
3.940000E-3	5.992500E+4
3.960000E-3	5.970800E+4
3.980000E-3	5.931400E+4
4.000000E-3	5.891700E+4
4.020000E-3	5.800800E+4
4.040000E-3	5.766800E+4
4.060000E-3	5.733400E+4
4.080000E-3	5.648300E+4
4.100000E-3	5.654000E+4
4.120000E-3	5.576800E+4
4.140000E-3	5.513400E+4
4.160000E-3	5.469700E+4
4.180000E-3	5.404400E+4
4.200000E-3	5.350100E+4
4.220000E-3	5.358000E+4
4.240000E-3	5.287500E+4
4.260000E-3	5.264300E+4
4.280000E-3	5.292200E+4
4.300000E-3	5.300700E+4
4.320000E-3	5.320300E+4
4.340000E-3	5.336900E+4
4.360000E-3	5.414500E+4
4.380000E-3	5.431900E+4
4.400000E-3	5.501000E+4
4.420000E-3	5.516200E+4
4.440000E-3	5.565500E+4
4.460000E-3	5.639100E+4
4.480000E-3	5.713500E+4
4.500000E-3	5.744000E+4
4.520000E-3	5.859000E+4
4.540000E-3	5.843200E+4
4.560000E-3	5.895100E+4
4.580000E-3	5.938700E+4
4.600000E-3	5.993600E+4
4.620000E-3	6.062700E+4
4.640000E-3	6.055600E+4
4.660000E-3	6.127400E+4
4.680000E-3	6.153500E+4
4.700000E-3	6.182000E+4
4.720000E-3	6.232500E+4
4.740000E-3	6.216300E+4
4.760000E-3	6.241500E+4
4.780000E-3	6.254800E+4
4.800000E-3	6.261000E+4
4.820000E-3	6.309300E+4
4.840000E-3	6.329100E+4
4.860000E-3	6.361900E+4
4.880000E-3	6.282600E+4
4.900000E-3	6.372600E+4
4.920000E-3	6.377300E+4
4.940000E-3	6.422100E+4
4.960000E-3	6.410600E+4
4.980000E-3	6.410100E+4
5.000000E-3	6.461800E+4
5.020000E-3	6.423800E+4
5.040000E-3	6.424600E+4
5.060000E-3	6.436500E+4
5.080000E-3	6.398100E+4
5.100000E-3	6.444000E+4
5.120000E-3	6.439900E+4
5.140000E-3	6.455100E+4
5.160000E-3	6.472500E+4
5.180000E-3	6.494400E+4
5.200000E-3	6.487400E+4
5.220000E-3	6.451800E+4
5.240000E-3	6.482900E+4
5.260000E-3	6.488800E+4
5.280000E-3	6.485800E+4
5.300000E-3	6.438700E+4
5.320000E-3	6.492200E+4
5.340000E-3	6.519000E+4
5.360000E-3	6.505700E+4
5.380000E-3	6.474700E+4
5.400000E-3	6.531400E+4
5.420000E-3	6.491800E+4
5.440000E-3	6.488400E+4
5.460000E-3	6.483900E+4
5.480000E-3	6.489900E+4
5.500000E-3	6.488700E+4
5.520000E-3	6.543200E+4
